"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Hspa8" 1.35917148818562 10.4627564183488 14.0740503915273 3.80956169548815e-31 5.45948286580407e-27 59.3013438815769
"3010001F23Rik" -0.97355045404216 8.08017173376835 -12.9326705290688 9.68504679147351e-28 6.93982027843034e-24 51.7781241032998
"Arl6" 1.26983421477179 9.16152179743853 11.0705212710706 3.15352849980827e-22 1.50644056435841e-18 39.5652751260481
"Dnajb1" 0.732141671484361 7.86679580277953 10.9979813586507 5.14009918963462e-22 1.84156903716634e-18 39.0946029934009
"Pcare" 0.986919687370185 9.09071846862415 10.7816190933736 2.1985158417313e-21 6.30138610557027e-18 37.6942947959895
"Atf4" 1.00567354081981 9.56296558611178 10.6499254864844 5.30852643378289e-21 1.26794153870904e-17 36.8447732538512
"Pgk1" -0.890699858357869 9.59302174915036 -10.3615291283875 3.6267184645885e-20 6.95448603526814e-17 34.9926614274529
"Pkm" -0.937478395918191 11.3098497533171 -10.3512765098241 3.88220558803608e-20 6.95448603526814e-17 34.9270415163823
"Pgam1" -0.941403045427651 10.0496897578089 -10.2787373779081 6.28116460132559e-20 1.00017077668441e-16 34.4632325990776
"Aldoa" -0.870057028972426 11.2825721686699 -10.2233642958889 9.06348039919784e-20 1.29888737600904e-16 34.1097403258087
"Hspa1b" 0.846991443688562 8.06290978384113 9.64545713697103 4.02528978786083e-18 5.24422072271214e-15 30.4524237343851
"Kcnj14" -0.928638525026114 9.31942543988493 -9.62208940001652 4.68604820268985e-18 5.59631306606235e-15 30.3058796376849
"Fgf2" 0.76470709144179 7.65941137675053 9.29930758539576 3.77767516906092e-17 4.16445098829324e-14 28.2936179079055
"Atf3" 0.565871355099383 7.4935283568333 9.07599483361303 1.57782260821275e-16 1.61512684273549e-13 26.9154490643811
"Stat3" 0.768508040530246 7.88092005336876 9.02122995593326 2.23602473191746e-16 2.13629802887394e-13 26.5793404059114
"Hist1h1c" -0.651102929366197 8.05864629980885 -8.69151805635401 1.79349076456243e-15 1.60640725918401e-12 24.5724547562213
"AI847159" -0.820920693510312 8.9529327869079 -8.55413778128993 4.23172196524073e-15 3.56734161669793e-12 23.7451619451446
"Cebpd" 0.915086299262862 7.70891492293874 8.56353102885416 9.36424234638641e-15 7.45549761478131e-12 22.9995332770666
"Hsp90ab1" 0.81009498899861 8.87650970833426 8.40870345236856 1.04354523467049e-14 7.87107724108571e-12 22.8754488938968
"Neurod1" 0.774094378565413 9.76948484616441 8.39656179389049 1.12488704056766e-14 8.06037808918758e-12 22.803131712308
"Pfkl" -0.706129136874844 8.61723831826091 -8.35428081561117 1.46038314065712e-14 9.96607180417007e-12 22.5516583151181
"Reep6" -1.03358134323567 10.5093009922681 -8.30822758462623 1.9393584985696e-14 1.25687504698075e-11 22.278386501689
"Cdk2ap2" 0.759767296304917 9.27056233424811 8.30183176758697 2.01717438284538e-14 1.25687504698075e-11 22.2404879107732
"Sec22c" 0.723138230288897 7.88831245308463 8.19976002431326 3.77251238018237e-14 2.2526614550164e-11 21.6374365799131
"Eno1" -0.882142687448644 9.96951033574032 -8.1056592075926 6.69824526325012e-14 3.76815744514562e-11 21.0844997632625
"Phlpp2" 0.677998398006995 8.12127076756714 8.10230447524163 6.83637524065215e-14 3.76815744514562e-11 21.0648418599082
"Nupr1" 0.607739546273178 7.63658055435382 8.00963642101036 1.19960802871234e-13 6.36725283684316e-11 20.5233401270664
"Hk1" 0.711049959568422 9.57078623878113 7.93195015541996 1.91766388138318e-13 9.81501467289368e-11 20.0716659432948
"Hspa1a" 0.676062581501651 8.12561110841138 7.89142406467511 2.44728618927275e-13 1.20938132339544e-10 19.8368860363871
"Dusp8" 0.63179895879175 8.25111360477803 7.87212669914875 2.74806792632973e-13 1.31275204840771e-10 19.7252959850405
"Agtpbp1" 0.945618076855509 8.44884599963459 7.88533536761784 3.00852315065651e-13 1.39081113780834e-10 19.643364181814
"Junb" 0.584028766638833 7.57116841907965 7.81367692454278 3.90080133117338e-13 1.74694949615768e-10 19.3881181687486
"Esrrb" -0.734400277286672 8.52765690215975 -7.77780675926459 4.83330878074637e-13 2.09897418596594e-10 19.1818093604596
"Mt2" 0.794780131544001 8.06294234662306 7.69387581881193 7.96626313667811e-13 3.35777991210982e-10 18.7009321532932
"Tnpo1" 0.780034484082478 9.19826009920807 7.64876679207947 1.04090989778372e-12 4.26207992718242e-10 18.443572222994
"Irf9" 0.583724350743181 7.57500009932783 7.6078104230041 1.32613254892876e-12 5.27911265519389e-10 18.2105738695933
"H2-D1" 1.043441728007 8.12148626584129 7.68904836123519 1.70987148729838e-12 6.58233885002133e-10 17.9909618097312
"Slc38a2" 0.616737044679338 8.03679617127516 7.56122022402253 1.74536931338225e-12 6.58233885002133e-10 17.946308478355
"Pdc" -1.01217753652383 11.7624765860178 -7.51053869495041 2.35097303967293e-12 8.44700061313348e-10 17.659794665077
"Josd1" 0.473330389802721 7.63849201730695 7.51005268878871 2.35768630608708e-12 8.44700061313348e-10 17.6570520383784
"Stat1" 0.786051553554458 7.83451398474858 7.53212896154763 2.66813485574188e-12 9.3261074677163e-10 17.5471353261374
"Socs3" 0.361754121570515 7.33760305256588 7.38712111039019 4.83518547887014e-12 1.64983435946876e-09 16.9663418586643
"Edn2" 0.582129020005726 7.43325207433595 7.410310293131 6.42567672047325e-12 2.14154356002563e-09 16.7087365437627
"Pcdh15" 0.562472728377776 8.00978252101809 7.2385037788087 1.14276350394878e-11 3.72203267615682e-09 16.1395180817393
"Mt1" 0.899680746835017 9.72407963451968 7.21384867957253 1.31686253066318e-11 4.1814476411506e-09 16.00324063253
"Vax2os" -1.32561652815969 9.17453370608803 -7.32769202703293 1.37134909730011e-11 4.1814476411506e-09 15.9916149273378
"Ip6k2" 0.626957085311432 8.3202664275786 7.20760715202984 1.36493834557258e-11 4.1814476411506e-09 15.9687822474625
"Snhg12" 0.588340164945251 8.22000055304519 7.10360077221686 2.47485161202299e-11 7.38897884414615e-09 15.3970299025347
"Mab21l1" 0.534710256941552 8.77179012531939 7.07122326320057 2.97569722940526e-11 8.70300346828708e-09 15.2199952856329
"Bcl3" 0.295434898540424 7.29492314708125 7.06227559314509 3.13092835746944e-11 8.97386685817890e-09 15.1711517419995
"Gapdh" -0.699943059701451 12.0297938163858 -7.02431049011633 3.88336681740919e-11 1.09122607569198e-08 14.9642992651383
"Srebf1" -0.507466392324856 7.75384979539153 -7.00589486535532 4.31002951607966e-11 1.18782755759495e-08 14.8641912702342
"Gadd45b" 0.434695193712665 7.4413516930779 6.99749508566635 4.51968479640942e-11 1.22210571353478e-08 14.8185797706011
"Cars" 0.472272459992061 7.72542382543804 6.93849634423871 6.3039350176766e-11 1.67299430996895e-08 14.4991002978191
"Rgs9bp" -0.626455175834124 9.53033699895576 -6.88277886655952 8.61899258341975e-11 2.24579604932706e-08 14.1988307147265
"Rsrp1" 0.579955929160121 10.0578394309155 6.86974919118757 9.27120466802827e-11 2.37260060888416e-08 14.1288159188949
"Lpcat1" 0.593483197335877 8.68483785817929 6.84478349785513 1.06596421798662e-10 2.68005845753793e-08 13.9948806600173
"Tmsb4x" 0.682082311705258 9.82353071761445 6.8105396611764 1.29024169756585e-10 3.18800927031314e-08 13.8116378653873
"Stat2" 0.506647518531735 7.61875048232136 6.79779054151349 1.38511494601738e-10 3.36442072735172e-08 13.7435547382295
"Igsf11" 0.502670002178086 7.66329589101135 6.76985162259834 1.61770852184251e-10 3.86389680442085e-08 13.5946197560975
"Kif1b" 0.632588307363954 9.74262206894205 6.72818712388879 2.03770141986158e-10 4.78726213902235e-08 13.3731976109081
"Agpat3" -0.64096793136679 10.499111879894 -6.7151000366926 2.190553485513e-10 5.0633583872398e-08 13.303816599421
"Ipo5" 0.56525337281399 8.03285432608224 6.70084894458121 2.36985293064812e-10 5.39085116652669e-08 13.228357046915
"Rs1" -0.787551563700885 9.91499830459629 -6.65623000538197 3.02989438358119e-10 6.7845963142347e-08 12.992726055754
"Prss56" 0.504510005589079 7.41654188366128 6.66391314828533 3.84840811451952e-10 8.39688916591819e-08 12.7776697610549
"Lad1" 0.306388514550488 7.30537437640889 6.61175249802407 3.86710407473729e-10 8.39688916591819e-08 12.7587940295593
"Gadd45g" 0.463819034359102 7.60334835774827 6.60276105659874 4.06215113249905e-10 8.67386812205975e-08 12.7116193481676
"Usp2" 0.572511024595491 8.20650891116597 6.60036616743039 4.11571441141625e-10 8.67386812205975e-08 12.6990608980113
"Mtcl1" 0.6137109411047 8.70964687253643 6.5868635105647 4.43097065939915e-10 9.20293340867381e-08 12.6283071724099
"Mif" -0.747836629560596 9.45578756423758 -6.58191224159052 4.55242715405171e-10 9.32011907781643e-08 12.6023848649326
"Mars" 0.470364357749652 7.8042699540868 6.57081466522728 4.83667756628563e-10 9.7625952397802e-08 12.5443271426324
